type,blockTime,delegator,eventTime,id,indexer,logIndex,shares,tokens,until
stakeDelegatedLockeds,1608260777,0x57b4a5f470c85d4281f7baf5162b59243a3491df,1608260777,0x18cb0cf3c94ed5aee7c925b9691535fb78e0419d54e37de9c092a44e75f7bd30-67,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,67,65257075000000000000000,65257075000000000000000,32
stakeDelegatedLockeds,1608264240,0x1853bf6a892abd949aed052bb634ab96afaf31dd,1608264240,0x14b0c8979f1f246960a4145a594db37a7a440082451eaf53b0075b9af9320bb0-111,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,111,14169714085664846000000,14169714085664846000000,32
stakeDelegatedLockeds,1608308131,0xe88f42474046183f2367066cd940e74ded8085fe,1608308131,0x292aada0e00ced3e2e18228f411526790837d9209ddf545a13b59e9459fb6431-172,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,172,2000000000000000000000,2000000000000000000000,32
stakeDelegatedLockeds,1608310568,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,1608310568,0x34005f821b461faa35768bc3ebbc2df9877337fefb7ee5653891db55067f4ccb-154,0x45874192929530cd4e3dd0624df05bee3c13974f,154,9950000000000000000000,9950000000000000000000,32
stakeDelegatedLockeds,1608353177,0xe3a38bb185eebca16ac86139b4b8200c293a2dad,1608353177,0x0f4b5c2daa0ee542167af2fd724edb518f94fb840e5b5d1fe86c9819cc03336a-78,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,78,5679806919758074000000,5679806919758074000000,33
stakeDelegatedLockeds,1608366373,0xfe7c442da0297313444b919ba17ca666d631d121,1608366373,0x1d08efa72977208ef4336b3cefd144c7712062ecc83fa8948ec2e21de2eef26f-9,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,9,18075758597915281250000,18167407271115301580346,33
stakeDelegatedLockeds,1608376810,0xb35279f533bf023a054529512152b502dbefb382,1608376810,0x2f8d82164c2a2298af3ad10934f14ff0e1aff72ecd6772019622d875b1381705-237,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,237,29850000000000000000000,29850000000000000000000,33
stakeDelegatedLockeds,1608444820,0x9a5aaf145d11dd36747ca3c14422d9714a3de366,1608444820,0x307aa3801fd58a310d7889e42416354583b05c470db7f931ed08f097e633e0dd-41,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,41,9899805479409818930160,9974110727854269597930,34
stakeDelegatedLockeds,1608446536,0x203d7620fb3cdc3f25339d8a4368c95abb175349,1608446536,0x1777651837564916a456d676196108fa05b15e33645aae8d3f6fbe3a60cd292b-179,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,179,205725962025903815842,536486633269999999998,34
stakeDelegatedLockeds,1608459775,0x19ef5ab9c5f3e1aca85b22855ff31984e5c4083f,1608459775,0x2004c1c26a404b6c10608c662ae5f69d79822d5153abfc267c35e4ddef45a7dc-265,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,265,101504236794819823553,102266099999999999999,34
